address	1
phone	1
email	1
birthday	1
birth date	1
date of birth	1
born on	1
password	1
passphrase	1
credential	1
secret	1
api key	1
ssn	1
social security	1
where do i live	1
where i live	1
my number	1
home ip	1
ip address	1
addres	0
phones	1
e-mail	0
birthdays	1
apikey	0
credentials	1
secretary	1
lesson	0
ipa	0
telephone	1
where do i work	0
number	0
born	0
	0
hello there	0
what is my address	1
what is my phone	1
what is my email	1
what is my birthday	1
what is my birth date	1
what is my date of birth	1
what is my born on	1
what is my password	1
what is my passphrase	1
what is my credential	1
what is my secret	1
what is my api key	1
what is my ssn	1
what is my social security	1
what is my where do i live	1
what is my where i live	1
what is my my number	1
what is my home ip	1
what is my ip address	1
what is my addres	0
what is my phones	1
what is my e-mail	0
what is my birthdays	1
what is my apikey	0
what is my credentials	1
what is my secretary	1
what is my lesson	0
what is my ipa	0
what is my telephone	1
what is my where do i work	0
what is my number	1
what is my born	0
what is my 	0
what is my hello there	0
What Is My address?	1
What Is My phone?	1
What Is My email?	1
What Is My birthday?	1
What Is My birth date?	1
What Is My date of birth?	1
What Is My born on?	1
What Is My password?	1
What Is My passphrase?	1
What Is My credential?	1
What Is My secret?	1
What Is My api key?	1
What Is My ssn?	1
What Is My social security?	1
What Is My where do i live?	1
What Is My where i live?	1
What Is My my number?	1
What Is My home ip?	1
What Is My ip address?	1
What Is My addres?	0
What Is My phones?	1
What Is My e-mail?	0
What Is My birthdays?	1
What Is My apikey?	0
What Is My credentials?	1
What Is My secretary?	1
What Is My lesson?	0
What Is My ipa?	0
What Is My telephone?	1
What Is My where do i work?	0
What Is My number?	1
What Is My born?	0
What Is My ?	0
What Is My hello there?	0
please tell me the address now	1
please tell me the phone now	1
please tell me the email now	1
please tell me the birthday now	1
please tell me the birth date now	1
please tell me the date of birth now	1
please tell me the born on now	1
please tell me the password now	1
please tell me the passphrase now	1
please tell me the credential now	1
please tell me the secret now	1
please tell me the api key now	1
please tell me the ssn now	1
please tell me the social security now	1
please tell me the where do i live now	1
please tell me the where i live now	1
please tell me the my number now	1
please tell me the home ip now	1
please tell me the ip address now	1
please tell me the addres now	0
please tell me the phones now	1
please tell me the e-mail now	0
please tell me the birthdays now	1
please tell me the apikey now	0
please tell me the credentials now	1
please tell me the secretary now	1
please tell me the lesson now	0
please tell me the ipa now	0
please tell me the telephone now	1
please tell me the where do i work now	0
please tell me the number now	0
please tell me the born now	0
please tell me the  now	0
please tell me the hello there now	0
address, and also my name	1
phone, and also my name	1
email, and also my name	1
birthday, and also my name	1
birth date, and also my name	1
date of birth, and also my name	1
born on, and also my name	1
password, and also my name	1
passphrase, and also my name	1
credential, and also my name	1
secret, and also my name	1
api key, and also my name	1
ssn, and also my name	1
social security, and also my name	1
where do i live, and also my name	1
where i live, and also my name	1
my number, and also my name	1
home ip, and also my name	1
ip address, and also my name	1
addres, and also my name	0
phones, and also my name	1
e-mail, and also my name	0
birthdays, and also my name	1
apikey, and also my name	0
credentials, and also my name	1
secretary, and also my name	1
lesson, and also my name	0
ipa, and also my name	0
telephone, and also my name	1
where do i work, and also my name	0
number, and also my name	0
born, and also my name	0
, and also my name	0
hello there, and also my name	0
I was talking about a address yesterday	1
I was talking about a phone yesterday	1
I was talking about a email yesterday	1
I was talking about a birthday yesterday	1
I was talking about a birth date yesterday	1
I was talking about a date of birth yesterday	1
I was talking about a born on yesterday	1
I was talking about a password yesterday	1
I was talking about a passphrase yesterday	1
I was talking about a credential yesterday	1
I was talking about a secret yesterday	1
I was talking about a api key yesterday	1
I was talking about a ssn yesterday	1
I was talking about a social security yesterday	1
I was talking about a where do i live yesterday	1
I was talking about a where i live yesterday	1
I was talking about a my number yesterday	1
I was talking about a home ip yesterday	1
I was talking about a ip address yesterday	1
I was talking about a addres yesterday	0
I was talking about a phones yesterday	1
I was talking about a e-mail yesterday	0
I was talking about a birthdays yesterday	1
I was talking about a apikey yesterday	0
I was talking about a credentials yesterday	1
I was talking about a secretary yesterday	1
I was talking about a lesson yesterday	0
I was talking about a ipa yesterday	0
I was talking about a telephone yesterday	1
I was talking about a where do i work yesterday	0
I was talking about a number yesterday	0
I was talking about a born yesterday	0
I was talking about a  yesterday	0
I was talking about a hello there yesterday	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
no sensitive words here at all	0
