my email is theo@example.com	0	1	email	1	user	email	theo@example.com	10	16
my email is 192.168.1.254	0	1	email	1	user	email	192.168.1.254	10	15
my email is Theo	0	1	email	1	user	email	Theo	10	99
my email is aa:bb:cc:dd:ee:ff	0	1	email	1	user	email	aa:bb:cc:dd:ee:ff	10	16
my email is 2026-06-13	0	1	email	1	user	email	2026-06-13	10	16
my email is fe80::1	0	1	email	1	user	email	fe80::1	10	15
my email is a thing with spaces	0	1	email	1	user	email	a thing with spaces	10	99
my email is 	0	1	email	0
my home ip is theo@example.com	0	1	home ip	1	user	home_ip	theo@example.com	10	16
my home ip is 192.168.1.254	0	1	home ip	1	user	home_ip	192.168.1.254	10	15
my home ip is Theo	0	1	home ip	1	user	home_ip	Theo	10	99
my home ip is aa:bb:cc:dd:ee:ff	0	1	home ip	1	user	home_ip	aa:bb:cc:dd:ee:ff	10	16
my home ip is 2026-06-13	0	1	home ip	1	user	home_ip	2026-06-13	10	16
my home ip is fe80::1	0	1	home ip	1	user	home_ip	fe80::1	10	15
my home ip is a thing with spaces	0	1	home ip	1	user	home_ip	a thing with spaces	10	99
my home ip is 	0	1	home ip	0
my name is theo@example.com	0	1	name	1	user	name	theo@example.com	10	16
my name is 192.168.1.254	0	1	name	1	user	name	192.168.1.254	10	15
my name is Theo	0	1	name	1	user	name	Theo	10	99
my name is aa:bb:cc:dd:ee:ff	0	1	name	1	user	name	aa:bb:cc:dd:ee:ff	10	16
my name is 2026-06-13	0	1	name	1	user	name	2026-06-13	10	16
my name is fe80::1	0	1	name	1	user	name	fe80::1	10	15
my name is a thing with spaces	0	1	name	1	user	name	a thing with spaces	10	99
my name is 	0	1	name	0
my favorite color is theo@example.com	0	1	favorite color	1	user	favorite_color	theo@example.com	10	16
my favorite color is 192.168.1.254	0	1	favorite color	1	user	favorite_color	192.168.1.254	10	15
my favorite color is Theo	0	1	favorite color	1	user	favorite_color	Theo	10	99
my favorite color is aa:bb:cc:dd:ee:ff	0	1	favorite color	1	user	favorite_color	aa:bb:cc:dd:ee:ff	10	16
my favorite color is 2026-06-13	0	1	favorite color	1	user	favorite_color	2026-06-13	10	16
my favorite color is fe80::1	0	1	favorite color	1	user	favorite_color	fe80::1	10	15
my favorite color is a thing with spaces	0	1	favorite color	1	user	favorite_color	a thing with spaces	10	99
my favorite color is 	0	1	favorite color	0
my HTTPServer is theo@example.com	0	1	HTTPServer	1	user	httpserver	theo@example.com	10	16
my HTTPServer is 192.168.1.254	0	1	HTTPServer	1	user	httpserver	192.168.1.254	10	15
my HTTPServer is Theo	0	1	HTTPServer	1	user	httpserver	Theo	10	99
my HTTPServer is aa:bb:cc:dd:ee:ff	0	1	HTTPServer	1	user	httpserver	aa:bb:cc:dd:ee:ff	10	16
my HTTPServer is 2026-06-13	0	1	HTTPServer	1	user	httpserver	2026-06-13	10	16
my HTTPServer is fe80::1	0	1	HTTPServer	1	user	httpserver	fe80::1	10	15
my HTTPServer is a thing with spaces	0	1	HTTPServer	1	user	httpserver	a thing with spaces	10	99
my HTTPServer is 	0	1	HTTPServer	0
my work-phone is theo@example.com	0	1	work-phone	1	user	work_phone	theo@example.com	10	16
my work-phone is 192.168.1.254	0	1	work-phone	1	user	work_phone	192.168.1.254	10	15
my work-phone is Theo	0	1	work-phone	1	user	work_phone	Theo	10	99
my work-phone is aa:bb:cc:dd:ee:ff	0	1	work-phone	1	user	work_phone	aa:bb:cc:dd:ee:ff	10	16
my work-phone is 2026-06-13	0	1	work-phone	1	user	work_phone	2026-06-13	10	16
my work-phone is fe80::1	0	1	work-phone	1	user	work_phone	fe80::1	10	15
my work-phone is a thing with spaces	0	1	work-phone	1	user	work_phone	a thing with spaces	10	99
my work-phone is 	0	1	work-phone	0
my x is theo@example.com	0	1	x	1	user	x	theo@example.com	10	16
my x is 192.168.1.254	0	1	x	1	user	x	192.168.1.254	10	15
my x is Theo	0	1	x	1	user	x	Theo	10	99
my x is aa:bb:cc:dd:ee:ff	0	1	x	1	user	x	aa:bb:cc:dd:ee:ff	10	16
my x is 2026-06-13	0	1	x	1	user	x	2026-06-13	10	16
my x is fe80::1	0	1	x	1	user	x	fe80::1	10	15
my x is a thing with spaces	0	1	x	1	user	x	a thing with spaces	10	99
my x is 	0	1	x	0
my a very long attribute phrase that keeps going is theo@example.com	0	1	a very long	1	user	a_very_long_attribute_phrase_that_keeps_going	theo@example.com	10	16
my a very long attribute phrase that keeps going is 192.168.1.254	0	1	a very long	1	user	a_very_long_attribute_phrase_that_keeps_going	192.168.1.254	10	15
my a very long attribute phrase that keeps going is Theo	0	1	a very long	1	user	a_very_long_attribute_phrase_that_keeps_going	Theo	10	99
my a very long attribute phrase that keeps going is aa:bb:cc:dd:ee:ff	0	1	a very long	1	user	a_very_long_attribute_phrase_that_keeps_going	aa:bb:cc:dd:ee:ff	10	16
my a very long attribute phrase that keeps going is 2026-06-13	0	1	a very long	1	user	a_very_long_attribute_phrase_that_keeps_going	2026-06-13	10	16
my a very long attribute phrase that keeps going is fe80::1	0	1	a very long	1	user	a_very_long_attribute_phrase_that_keeps_going	fe80::1	10	15
my a very long attribute phrase that keeps going is a thing with spaces	0	1	a very long	1	user	a_very_long_attribute_phrase_that_keeps_going	a thing with spaces	10	99
my a very long attribute phrase that keeps going is 	0	1	a very long	0
my  is theo@example.com	0	1	is theo@example	0
my  is 192.168.1.254	0	1	is 192	0
my  is Theo	0	1	is Theo	0
my  is aa:bb:cc:dd:ee:ff	0	1	is aa:bb:cc:dd:ee:ff	0
my  is 2026-06-13	0	1	is 2026-06-13	0
my  is fe80::1	0	1	is fe80::1	0
my  is a thing with spaces	0	1	is a thing	0
my  is 	0	1	is	0
my email is theo@example.com.	0	1	email	1	user	email	theo@example.com	10	16
my email is 192.168.1.254.	0	1	email	1	user	email	192.168.1.254	10	15
my email is Theo.	0	1	email	1	user	email	Theo	10	99
my email is aa:bb:cc:dd:ee:ff.	0	1	email	1	user	email	aa:bb:cc:dd:ee:ff	10	16
my email is 2026-06-13.	0	1	email	1	user	email	2026-06-13	10	16
my email is fe80::1.	0	1	email	1	user	email	fe80::1	10	15
my email is a thing with spaces.	0	1	email	1	user	email	a thing with spaces	10	99
my email is .	0	1	email	0
my home ip is theo@example.com.	0	1	home ip	1	user	home_ip	theo@example.com	10	16
my home ip is 192.168.1.254.	0	1	home ip	1	user	home_ip	192.168.1.254	10	15
my home ip is Theo.	0	1	home ip	1	user	home_ip	Theo	10	99
my home ip is aa:bb:cc:dd:ee:ff.	0	1	home ip	1	user	home_ip	aa:bb:cc:dd:ee:ff	10	16
my home ip is 2026-06-13.	0	1	home ip	1	user	home_ip	2026-06-13	10	16
my home ip is fe80::1.	0	1	home ip	1	user	home_ip	fe80::1	10	15
my home ip is a thing with spaces.	0	1	home ip	1	user	home_ip	a thing with spaces	10	99
my home ip is .	0	1	home ip	0
my name is theo@example.com.	0	1	name	1	user	name	theo@example.com	10	16
my name is 192.168.1.254.	0	1	name	1	user	name	192.168.1.254	10	15
my name is Theo.	0	1	name	1	user	name	Theo	10	99
my name is aa:bb:cc:dd:ee:ff.	0	1	name	1	user	name	aa:bb:cc:dd:ee:ff	10	16
my name is 2026-06-13.	0	1	name	1	user	name	2026-06-13	10	16
my name is fe80::1.	0	1	name	1	user	name	fe80::1	10	15
my name is a thing with spaces.	0	1	name	1	user	name	a thing with spaces	10	99
my name is .	0	1	name	0
my favorite color is theo@example.com.	0	1	favorite color	1	user	favorite_color	theo@example.com	10	16
my favorite color is 192.168.1.254.	0	1	favorite color	1	user	favorite_color	192.168.1.254	10	15
my favorite color is Theo.	0	1	favorite color	1	user	favorite_color	Theo	10	99
